adulteration_id,product_name,brand,category,adulterant,detection_date,detection_method,severity,health_risk,action_taken
251,Juice,BrandE,Dairy,Coloring agents,1/13/2024,Sensory Evaluation,Severe,Medium,Fine Imposed
252,Cheese,BrandB,Condiments,Coloring agents,4/30/2024,Chemical Analysis,Minor,Low,Fine Imposed
253,Milk,BrandD,Condiments,Melamine,6/14/2024,Chemical Analysis,Moderate,High,Investigation Launched
254,Milk,BrandE,Meat,Chalk,1/20/2024,Microbiological Analysis,Moderate,High,Fine Imposed
255,Bread,BrandE,Beverages,Melamine,5/23/2024,Spectroscopy,Moderate,Medium,Investigation Launched
256,Honey,BrandD,Beverages,Artificial sweeteners,1/10/2024,Chemical Analysis,Severe,High,Product Recall
257,Cheese,BrandA,Meat,Coloring agents,2/25/2024,Microbiological Analysis,Moderate,High,Warning Issued
258,Chicken,BrandD,Meat,Artificial sweeteners,4/20/2024,Microbiological Analysis,Severe,High,Investigation Launched
259,Chicken,BrandB,Beverages,Artificial sweeteners,2/15/2024,Sensory Evaluation,Moderate,Medium,Warning Issued
260,Cheese,BrandB,Dairy,Artificial sweeteners,2/7/2024,Chemical Analysis,Moderate,Medium,Warning Issued
261,Milk,BrandB,Beverages,Artificial sweeteners,4/23/2024,Sensory Evaluation,Moderate,High,Fine Imposed
262,Milk,BrandB,Bakery,Water,2/13/2024,Microbiological Analysis,Severe,Low,Product Recall
263,Bread,BrandB,Condiments,Coloring agents,4/26/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
264,Bread,BrandB,Condiments,Coloring agents,3/17/2024,Microbiological Analysis,Moderate,High,Product Recall
265,Honey,BrandC,Beverages,Coloring agents,6/28/2024,Sensory Evaluation,Severe,High,Investigation Launched
266,Honey,BrandA,Meat,Melamine,4/28/2024,Spectroscopy,Moderate,High,Product Recall
267,Chicken,BrandE,Meat,Melamine,5/23/2024,Chemical Analysis,Minor,High,Warning Issued
268,Honey,BrandE,Dairy,Artificial sweeteners,4/29/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
269,Juice,BrandC,Meat,Artificial sweeteners,1/21/2024,Microbiological Analysis,Severe,High,Warning Issued
270,Bread,BrandE,Dairy,Water,1/16/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
271,Chicken,BrandE,Meat,Chalk,5/20/2024,Spectroscopy,Severe,Low,Fine Imposed
272,Chicken,BrandD,Bakery,Coloring agents,6/25/2024,Spectroscopy,Severe,Medium,Warning Issued
273,Wine,BrandB,Bakery,Water,1/1/2024,Microbiological Analysis,Severe,Medium,Product Recall
274,Yogurt,BrandE,Dairy,Chalk,6/17/2024,Sensory Evaluation,Moderate,Low,Warning Issued
275,Juice,BrandC,Bakery,Coloring agents,6/14/2024,Sensory Evaluation,Minor,Low,Product Recall
276,Cheese,BrandD,Bakery,Melamine,5/8/2024,Chemical Analysis,Moderate,High,Fine Imposed
277,Honey,BrandD,Condiments,Chalk,4/19/2024,Spectroscopy,Minor,High,Product Recall
278,Honey,BrandE,Condiments,Coloring agents,2/22/2024,Microbiological Analysis,Minor,High,Fine Imposed
279,Chicken,BrandB,Beverages,Water,3/2/2024,Spectroscopy,Minor,Low,Investigation Launched
280,Butter,BrandB,Bakery,Coloring agents,1/22/2024,Chemical Analysis,Severe,High,Fine Imposed
281,Beef,BrandE,Dairy,Artificial sweeteners,4/19/2024,Spectroscopy,Minor,High,Product Recall
282,Cheese,BrandE,Dairy,Water,4/2/2024,Sensory Evaluation,Severe,High,Product Recall
283,Yogurt,BrandE,Bakery,Water,1/15/2024,Microbiological Analysis,Moderate,Low,Product Recall
284,Butter,BrandC,Condiments,Chalk,5/30/2024,Chemical Analysis,Minor,Medium,Warning Issued
285,Cheese,BrandD,Bakery,Melamine,5/5/2024,Chemical Analysis,Severe,Low,Investigation Launched
286,Chicken,BrandE,Condiments,Artificial sweeteners,3/10/2024,Microbiological Analysis,Minor,Low,Warning Issued
287,Milk,BrandD,Dairy,Artificial sweeteners,1/17/2024,Spectroscopy,Severe,High,Investigation Launched
288,Honey,BrandD,Beverages,Chalk,5/8/2024,Microbiological Analysis,Moderate,Medium,Investigation Launched
289,Milk,BrandC,Dairy,Water,5/31/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
290,Bread,BrandE,Condiments,Coloring agents,1/12/2024,Microbiological Analysis,Moderate,Medium,Product Recall
291,Yogurt,BrandE,Meat,Coloring agents,3/1/2024,Spectroscopy,Moderate,Low,Fine Imposed
292,Beef,BrandD,Dairy,Coloring agents,2/12/2024,Sensory Evaluation,Severe,High,Investigation Launched
293,Honey,BrandE,Beverages,Water,3/29/2024,Chemical Analysis,Severe,High,Fine Imposed
294,Yogurt,BrandD,Meat,Chalk,6/14/2024,Spectroscopy,Severe,Medium,Warning Issued
295,Beef,BrandC,Meat,Artificial sweeteners,2/10/2024,Microbiological Analysis,Minor,High,Product Recall
296,Cheese,BrandD,Dairy,Coloring agents,1/23/2024,Microbiological Analysis,Moderate,Low,Warning Issued
297,Yogurt,BrandA,Dairy,Melamine,4/20/2024,Spectroscopy,Minor,High,Product Recall
298,Beef,BrandE,Bakery,Melamine,2/17/2024,Chemical Analysis,Severe,High,Investigation Launched
299,Yogurt,BrandE,Bakery,Melamine,5/22/2024,Microbiological Analysis,Minor,Medium,Product Recall
300,Chicken,BrandD,Dairy,Coloring agents,6/19/2024,Spectroscopy,Moderate,High,Warning Issued
301,Milk,BrandB,Beverages,Artificial sweeteners,1/25/2024,Sensory Evaluation,Severe,Low,Product Recall
302,Honey,BrandB,Bakery,Artificial sweeteners,4/6/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
303,Milk,BrandB,Dairy,Melamine,4/12/2024,Spectroscopy,Severe,Medium,Investigation Launched
304,Juice,BrandC,Beverages,Artificial sweeteners,2/13/2024,Microbiological Analysis,Moderate,Medium,Fine Imposed
305,Bread,BrandE,Dairy,Chalk,6/15/2024,Chemical Analysis,Minor,Low,Fine Imposed
306,Cheese,BrandD,Meat,Chalk,2/1/2024,Spectroscopy,Moderate,High,Fine Imposed
307,Chicken,BrandB,Condiments,Water,2/7/2024,Spectroscopy,Minor,Medium,Warning Issued
308,Chicken,BrandA,Condiments,Chalk,5/12/2024,Chemical Analysis,Severe,Medium,Product Recall
309,Butter,BrandA,Condiments,Chalk,2/10/2024,Sensory Evaluation,Minor,High,Investigation Launched
310,Wine,BrandC,Meat,Coloring agents,6/20/2024,Chemical Analysis,Moderate,Medium,Warning Issued
311,Milk,BrandB,Condiments,Melamine,2/11/2024,Chemical Analysis,Severe,High,Warning Issued
312,Bread,BrandD,Dairy,Chalk,4/20/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
313,Honey,BrandA,Bakery,Chalk,2/26/2024,Sensory Evaluation,Severe,Medium,Warning Issued
314,Yogurt,BrandD,Meat,Melamine,3/30/2024,Spectroscopy,Minor,Medium,Warning Issued
315,Butter,BrandC,Beverages,Chalk,5/14/2024,Chemical Analysis,Minor,Medium,Fine Imposed
316,Beef,BrandC,Dairy,Chalk,5/16/2024,Sensory Evaluation,Severe,High,Warning Issued
317,Bread,BrandA,Beverages,Artificial sweeteners,1/20/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
318,Milk,BrandC,Bakery,Chalk,5/18/2024,Spectroscopy,Moderate,High,Warning Issued
319,Honey,BrandA,Dairy,Water,3/3/2024,Microbiological Analysis,Moderate,Low,Warning Issued
320,Milk,BrandA,Beverages,Chalk,5/25/2024,Sensory Evaluation,Minor,High,Investigation Launched
321,Juice,BrandC,Beverages,Artificial sweeteners,3/31/2024,Spectroscopy,Minor,Low,Warning Issued
322,Honey,BrandD,Dairy,Water,4/10/2024,Sensory Evaluation,Minor,Low,Product Recall
323,Juice,BrandB,Meat,Melamine,6/29/2024,Spectroscopy,Minor,High,Warning Issued
324,Yogurt,BrandC,Dairy,Artificial sweeteners,4/27/2024,Sensory Evaluation,Severe,Low,Fine Imposed
325,Milk,BrandA,Beverages,Chalk,1/22/2024,Microbiological Analysis,Minor,Low,Warning Issued
326,Beef,BrandE,Bakery,Water,5/13/2024,Spectroscopy,Moderate,Low,Fine Imposed
327,Cheese,BrandC,Meat,Water,3/31/2024,Microbiological Analysis,Minor,High,Product Recall
328,Yogurt,BrandE,Beverages,Chalk,1/2/2024,Spectroscopy,Moderate,Low,Warning Issued
329,Juice,BrandA,Beverages,Melamine,5/13/2024,Spectroscopy,Moderate,Low,Investigation Launched
330,Wine,BrandE,Beverages,Water,4/19/2024,Sensory Evaluation,Severe,High,Investigation Launched
331,Beef,BrandB,Dairy,Melamine,1/2/2024,Chemical Analysis,Severe,Low,Investigation Launched
332,Butter,BrandB,Dairy,Melamine,6/18/2024,Microbiological Analysis,Severe,High,Investigation Launched
333,Bread,BrandA,Meat,Melamine,5/26/2024,Chemical Analysis,Severe,Low,Fine Imposed
334,Beef,BrandD,Dairy,Coloring agents,2/26/2024,Sensory Evaluation,Severe,Low,Fine Imposed
335,Honey,BrandB,Meat,Chalk,3/19/2024,Spectroscopy,Severe,High,Investigation Launched
336,Chicken,BrandC,Condiments,Coloring agents,6/20/2024,Sensory Evaluation,Minor,Medium,Warning Issued
337,Butter,BrandC,Bakery,Coloring agents,4/10/2024,Chemical Analysis,Severe,High,Product Recall
338,Honey,BrandD,Dairy,Coloring agents,5/11/2024,Spectroscopy,Severe,High,Warning Issued
339,Chicken,BrandC,Meat,Chalk,2/23/2024,Sensory Evaluation,Severe,High,Fine Imposed
340,Milk,BrandC,Meat,Melamine,1/17/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
341,Honey,BrandD,Bakery,Artificial sweeteners,3/31/2024,Microbiological Analysis,Severe,Low,Fine Imposed
342,Beef,BrandA,Condiments,Melamine,2/29/2024,Spectroscopy,Minor,Medium,Warning Issued
343,Cheese,BrandC,Condiments,Water,4/28/2024,Chemical Analysis,Minor,Medium,Investigation Launched
344,Honey,BrandC,Meat,Coloring agents,6/7/2024,Chemical Analysis,Severe,Medium,Warning Issued
345,Chicken,BrandC,Meat,Chalk,3/17/2024,Spectroscopy,Minor,High,Fine Imposed
346,Juice,BrandE,Meat,Artificial sweeteners,2/26/2024,Microbiological Analysis,Minor,Medium,Warning Issued
347,Juice,BrandD,Condiments,Chalk,2/19/2024,Spectroscopy,Moderate,Low,Warning Issued
348,Juice,BrandB,Beverages,Artificial sweeteners,6/1/2024,Chemical Analysis,Severe,Medium,Product Recall
349,Milk,BrandD,Beverages,Coloring agents,3/5/2024,Microbiological Analysis,Moderate,Medium,Product Recall
350,Beef,BrandD,Beverages,Melamine,4/11/2024,Microbiological Analysis,Severe,Medium,Investigation Launched
351,Bread,BrandD,Condiments,Coloring agents,4/22/2024,Sensory Evaluation,Severe,High,Product Recall
352,Bread,BrandE,Dairy,Water,6/19/2024,Spectroscopy,Moderate,Low,Investigation Launched
353,Butter,BrandC,Meat,Chalk,2/21/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
354,Yogurt,BrandB,Dairy,Water,1/28/2024,Sensory Evaluation,Moderate,High,Investigation Launched
355,Chicken,BrandE,Dairy,Water,5/7/2024,Sensory Evaluation,Minor,High,Warning Issued
356,Juice,BrandE,Dairy,Chalk,5/12/2024,Chemical Analysis,Severe,High,Fine Imposed
357,Milk,BrandA,Dairy,Coloring agents,5/28/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
358,Yogurt,BrandB,Bakery,Chalk,1/18/2024,Spectroscopy,Minor,Medium,Fine Imposed
359,Butter,BrandD,Meat,Coloring agents,1/27/2024,Microbiological Analysis,Minor,Low,Investigation Launched
360,Honey,BrandE,Condiments,Chalk,6/3/2024,Chemical Analysis,Severe,High,Warning Issued
361,Yogurt,BrandA,Dairy,Coloring agents,5/11/2024,Microbiological Analysis,Severe,Low,Product Recall
362,Beef,BrandA,Meat,Melamine,6/30/2024,Microbiological Analysis,Severe,Low,Fine Imposed
363,Milk,BrandA,Condiments,Water,5/7/2024,Chemical Analysis,Severe,Medium,Warning Issued
364,Juice,BrandA,Meat,Coloring agents,1/19/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
365,Chicken,BrandA,Bakery,Coloring agents,5/8/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
366,Honey,BrandB,Bakery,Artificial sweeteners,6/14/2024,Sensory Evaluation,Minor,High,Warning Issued
367,Bread,BrandC,Beverages,Artificial sweeteners,2/3/2024,Sensory Evaluation,Severe,Medium,Investigation Launched
368,Beef,BrandD,Condiments,Chalk,4/12/2024,Spectroscopy,Minor,Low,Investigation Launched
369,Milk,BrandC,Condiments,Melamine,2/25/2024,Spectroscopy,Severe,High,Investigation Launched
370,Milk,BrandE,Bakery,Coloring agents,2/18/2024,Chemical Analysis,Moderate,High,Warning Issued
371,Wine,BrandD,Beverages,Water,2/6/2024,Spectroscopy,Severe,Medium,Product Recall
372,Bread,BrandC,Bakery,Melamine,6/21/2024,Spectroscopy,Minor,Medium,Product Recall
373,Chicken,BrandA,Meat,Coloring agents,3/15/2024,Microbiological Analysis,Severe,Low,Fine Imposed
374,Milk,BrandB,Bakery,Coloring agents,3/18/2024,Sensory Evaluation,Severe,Low,Fine Imposed
375,Milk,BrandD,Dairy,Water,2/16/2024,Chemical Analysis,Severe,Low,Fine Imposed
376,Cheese,BrandC,Beverages,Coloring agents,2/19/2024,Sensory Evaluation,Minor,High,Warning Issued
377,Honey,BrandA,Beverages,Melamine,1/11/2024,Chemical Analysis,Minor,Low,Product Recall
378,Chicken,BrandA,Condiments,Chalk,3/1/2024,Sensory Evaluation,Severe,Low,Warning Issued
379,Cheese,BrandB,Dairy,Artificial sweeteners,5/29/2024,Chemical Analysis,Severe,Medium,Product Recall
380,Juice,BrandE,Bakery,Coloring agents,5/19/2024,Spectroscopy,Severe,High,Product Recall
381,Yogurt,BrandC,Dairy,Water,5/21/2024,Sensory Evaluation,Severe,Low,Product Recall
382,Chicken,BrandA,Meat,Coloring agents,1/8/2024,Chemical Analysis,Minor,Low,Investigation Launched
383,Wine,BrandB,Meat,Water,6/21/2024,Sensory Evaluation,Severe,Low,Investigation Launched
384,Wine,BrandC,Condiments,Melamine,2/20/2024,Chemical Analysis,Minor,Low,Fine Imposed
385,Beef,BrandC,Meat,Coloring agents,4/13/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
386,Yogurt,BrandE,Dairy,Coloring agents,1/31/2024,Sensory Evaluation,Severe,Low,Warning Issued
387,Milk,BrandE,Dairy,Coloring agents,1/20/2024,Sensory Evaluation,Minor,Medium,Warning Issued
388,Wine,BrandC,Beverages,Coloring agents,6/7/2024,Spectroscopy,Minor,Low,Investigation Launched
389,Beef,BrandE,Bakery,Chalk,6/18/2024,Chemical Analysis,Minor,Medium,Investigation Launched
390,Bread,BrandA,Dairy,Water,5/20/2024,Spectroscopy,Severe,Low,Warning Issued
391,Honey,BrandB,Dairy,Melamine,6/19/2024,Sensory Evaluation,Severe,Low,Fine Imposed
392,Bread,BrandA,Condiments,Water,1/28/2024,Chemical Analysis,Minor,Low,Warning Issued
393,Juice,BrandD,Dairy,Water,5/23/2024,Chemical Analysis,Minor,Medium,Investigation Launched
394,Juice,BrandE,Beverages,Artificial sweeteners,5/25/2024,Spectroscopy,Moderate,Low,Investigation Launched
395,Juice,BrandE,Condiments,Coloring agents,4/23/2024,Spectroscopy,Minor,Medium,Warning Issued
396,Butter,BrandB,Dairy,Melamine,6/6/2024,Chemical Analysis,Minor,High,Warning Issued
397,Bread,BrandE,Dairy,Artificial sweeteners,2/17/2024,Chemical Analysis,Moderate,Medium,Warning Issued
398,Yogurt,BrandB,Beverages,Coloring agents,6/28/2024,Sensory Evaluation,Minor,Low,Fine Imposed
399,Bread,BrandC,Dairy,Water,3/21/2024,Chemical Analysis,Moderate,Medium,Investigation Launched
400,Wine,BrandE,Dairy,Melamine,3/18/2024,Spectroscopy,Minor,Low,Product Recall
401,Chicken,BrandA,Dairy,Chalk,5/2/2024,Chemical Analysis,Minor,Medium,Investigation Launched
402,Honey,BrandB,Dairy,Coloring agents,3/11/2024,Microbiological Analysis,Moderate,Medium,Product Recall
403,Juice,BrandD,Bakery,Water,5/16/2024,Sensory Evaluation,Severe,Low,Investigation Launched
404,Honey,BrandC,Meat,Chalk,1/30/2024,Chemical Analysis,Minor,Low,Investigation Launched
405,Chicken,BrandB,Condiments,Artificial sweeteners,2/2/2024,Microbiological Analysis,Minor,High,Fine Imposed
406,Butter,BrandB,Bakery,Chalk,5/6/2024,Microbiological Analysis,Minor,Medium,Warning Issued
407,Wine,BrandC,Meat,Artificial sweeteners,3/9/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
408,Beef,BrandA,Condiments,Artificial sweeteners,3/31/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
409,Honey,BrandD,Beverages,Chalk,5/19/2024,Spectroscopy,Severe,Low,Fine Imposed
410,Butter,BrandA,Beverages,Chalk,1/10/2024,Chemical Analysis,Severe,High,Product Recall
411,Yogurt,BrandA,Dairy,Chalk,2/24/2024,Spectroscopy,Moderate,High,Product Recall
412,Honey,BrandA,Beverages,Chalk,4/6/2024,Chemical Analysis,Minor,Low,Warning Issued
413,Wine,BrandE,Dairy,Chalk,3/9/2024,Microbiological Analysis,Minor,Medium,Warning Issued
414,Beef,BrandD,Condiments,Chalk,5/23/2024,Spectroscopy,Minor,Low,Investigation Launched
415,Butter,BrandB,Dairy,Chalk,2/18/2024,Chemical Analysis,Minor,Low,Warning Issued
416,Milk,BrandB,Meat,Chalk,2/10/2024,Microbiological Analysis,Minor,High,Product Recall
417,Yogurt,BrandA,Beverages,Chalk,2/14/2024,Sensory Evaluation,Moderate,Low,Investigation Launched
418,Juice,BrandC,Beverages,Coloring agents,2/18/2024,Spectroscopy,Minor,Low,Warning Issued
419,Cheese,BrandD,Condiments,Chalk,5/30/2024,Chemical Analysis,Moderate,Low,Product Recall
420,Juice,BrandA,Dairy,Melamine,3/7/2024,Chemical Analysis,Minor,High,Warning Issued
421,Juice,BrandA,Dairy,Melamine,2/15/2024,Microbiological Analysis,Minor,Low,Investigation Launched
422,Beef,BrandB,Meat,Artificial sweeteners,3/2/2024,Chemical Analysis,Moderate,Low,Investigation Launched
423,Cheese,BrandB,Dairy,Water,4/14/2024,Spectroscopy,Severe,Medium,Warning Issued
424,Bread,BrandC,Dairy,Water,5/11/2024,Spectroscopy,Moderate,Low,Investigation Launched
425,Cheese,BrandE,Bakery,Melamine,5/9/2024,Microbiological Analysis,Severe,High,Investigation Launched
426,Chicken,BrandE,Meat,Artificial sweeteners,4/10/2024,Spectroscopy,Minor,Low,Fine Imposed
427,Butter,BrandC,Dairy,Melamine,4/4/2024,Chemical Analysis,Moderate,Low,Product Recall
428,Beef,BrandA,Dairy,Artificial sweeteners,4/30/2024,Spectroscopy,Minor,Low,Product Recall
429,Chicken,BrandD,Meat,Coloring agents,3/31/2024,Sensory Evaluation,Severe,High,Fine Imposed
430,Juice,BrandD,Beverages,Chalk,3/16/2024,Chemical Analysis,Severe,Low,Product Recall
431,Chicken,BrandD,Dairy,Water,4/6/2024,Spectroscopy,Severe,Medium,Investigation Launched
432,Yogurt,BrandB,Dairy,Water,3/24/2024,Microbiological Analysis,Severe,Low,Investigation Launched
433,Butter,BrandD,Bakery,Chalk,5/19/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
434,Cheese,BrandD,Beverages,Artificial sweeteners,2/29/2024,Sensory Evaluation,Moderate,High,Product Recall
435,Yogurt,BrandE,Condiments,Coloring agents,4/11/2024,Sensory Evaluation,Moderate,High,Fine Imposed
436,Chicken,BrandD,Condiments,Melamine,5/17/2024,Chemical Analysis,Minor,Low,Fine Imposed
437,Wine,BrandC,Beverages,Artificial sweeteners,5/4/2024,Spectroscopy,Moderate,Medium,Investigation Launched
438,Yogurt,BrandE,Meat,Coloring agents,4/16/2024,Chemical Analysis,Minor,Low,Investigation Launched
439,Milk,BrandB,Dairy,Chalk,5/30/2024,Chemical Analysis,Moderate,Low,Product Recall
440,Bread,BrandE,Condiments,Melamine,5/6/2024,Spectroscopy,Minor,Medium,Fine Imposed
441,Milk,BrandA,Meat,Water,6/12/2024,Chemical Analysis,Moderate,Low,Warning Issued
442,Wine,BrandB,Meat,Coloring agents,3/7/2024,Sensory Evaluation,Severe,Low,Product Recall
443,Butter,BrandA,Condiments,Chalk,4/17/2024,Sensory Evaluation,Severe,Low,Fine Imposed
444,Yogurt,BrandA,Beverages,Chalk,3/7/2024,Chemical Analysis,Severe,High,Fine Imposed
445,Wine,BrandB,Condiments,Artificial sweeteners,4/15/2024,Chemical Analysis,Moderate,Low,Warning Issued
446,Wine,BrandA,Beverages,Water,2/3/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
447,Yogurt,BrandA,Beverages,Artificial sweeteners,5/31/2024,Chemical Analysis,Minor,High,Product Recall
448,Milk,BrandA,Condiments,Coloring agents,4/24/2024,Chemical Analysis,Moderate,Medium,Fine Imposed
449,Chicken,BrandD,Dairy,Melamine,2/22/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
450,Yogurt,BrandE,Dairy,Artificial sweeteners,4/2/2024,Microbiological Analysis,Moderate,Low,Fine Imposed
451,Honey,BrandD,Meat,Chalk,5/12/2024,Sensory Evaluation,Minor,Medium,Investigation Launched
452,Beef,BrandD,Meat,Artificial sweeteners,5/23/2024,Microbiological Analysis,Moderate,Low,Investigation Launched
453,Wine,BrandE,Bakery,Chalk,1/20/2024,Chemical Analysis,Minor,Low,Investigation Launched
454,Yogurt,BrandE,Dairy,Water,4/14/2024,Spectroscopy,Minor,Low,Fine Imposed
455,Cheese,BrandC,Dairy,Melamine,2/26/2024,Spectroscopy,Moderate,Low,Fine Imposed
456,Milk,BrandE,Dairy,Coloring agents,2/16/2024,Sensory Evaluation,Moderate,Low,Warning Issued
457,Milk,BrandD,Bakery,Chalk,1/25/2024,Sensory Evaluation,Minor,Low,Fine Imposed
458,Honey,BrandB,Beverages,Artificial sweeteners,1/17/2024,Sensory Evaluation,Minor,Low,Warning Issued
459,Butter,BrandE,Beverages,Coloring agents,4/17/2024,Sensory Evaluation,Severe,Low,Investigation Launched
460,Cheese,BrandB,Dairy,Chalk,4/23/2024,Microbiological Analysis,Minor,Medium,Fine Imposed
461,Cheese,BrandE,Condiments,Coloring agents,4/25/2024,Spectroscopy,Moderate,Medium,Fine Imposed
462,Wine,BrandD,Bakery,Coloring agents,3/29/2024,Chemical Analysis,Severe,High,Warning Issued
463,Cheese,BrandE,Meat,Water,4/15/2024,Chemical Analysis,Minor,High,Investigation Launched
464,Butter,BrandE,Bakery,Artificial sweeteners,6/30/2024,Sensory Evaluation,Severe,High,Warning Issued
465,Juice,BrandE,Bakery,Coloring agents,4/14/2024,Spectroscopy,Minor,High,Warning Issued
466,Juice,BrandA,Condiments,Artificial sweeteners,4/16/2024,Sensory Evaluation,Moderate,Low,Fine Imposed
467,Juice,BrandE,Meat,Chalk,3/29/2024,Microbiological Analysis,Severe,Medium,Product Recall
468,Wine,BrandE,Bakery,Melamine,6/9/2024,Chemical Analysis,Severe,Medium,Investigation Launched
469,Butter,BrandC,Meat,Chalk,3/25/2024,Sensory Evaluation,Moderate,Low,Warning Issued
470,Juice,BrandC,Bakery,Chalk,1/31/2024,Sensory Evaluation,Minor,High,Warning Issued
471,Beef,BrandA,Dairy,Chalk,3/7/2024,Chemical Analysis,Severe,Low,Product Recall
472,Yogurt,BrandC,Bakery,Coloring agents,2/24/2024,Microbiological Analysis,Minor,High,Fine Imposed
473,Milk,BrandE,Condiments,Melamine,2/16/2024,Sensory Evaluation,Severe,Low,Warning Issued
474,Bread,BrandE,Meat,Coloring agents,4/19/2024,Chemical Analysis,Severe,Low,Fine Imposed
475,Bread,BrandE,Condiments,Artificial sweeteners,4/19/2024,Chemical Analysis,Moderate,High,Investigation Launched
476,Milk,BrandA,Bakery,Artificial sweeteners,6/8/2024,Microbiological Analysis,Moderate,High,Investigation Launched
477,Juice,BrandB,Meat,Melamine,4/16/2024,Spectroscopy,Minor,Medium,Fine Imposed
478,Yogurt,BrandB,Bakery,Chalk,5/27/2024,Chemical Analysis,Minor,High,Investigation Launched
479,Yogurt,BrandD,Bakery,Coloring agents,2/23/2024,Chemical Analysis,Moderate,Medium,Product Recall
480,Juice,BrandC,Bakery,Water,6/12/2024,Sensory Evaluation,Moderate,Medium,Investigation Launched
481,Chicken,BrandB,Condiments,Melamine,6/12/2024,Chemical Analysis,Moderate,Low,Warning Issued
482,Cheese,BrandC,Beverages,Coloring agents,4/11/2024,Chemical Analysis,Minor,Low,Warning Issued
483,Milk,BrandD,Bakery,Chalk,6/3/2024,Sensory Evaluation,Minor,Medium,Fine Imposed
484,Cheese,BrandD,Beverages,Chalk,4/13/2024,Sensory Evaluation,Moderate,Medium,Product Recall
485,Cheese,BrandD,Condiments,Water,1/11/2024,Spectroscopy,Moderate,Low,Product Recall
486,Milk,BrandB,Dairy,Artificial sweeteners,3/31/2024,Spectroscopy,Moderate,Medium,Warning Issued
487,Butter,BrandE,Beverages,Melamine,3/30/2024,Spectroscopy,Severe,High,Investigation Launched
488,Honey,BrandE,Bakery,Artificial sweeteners,2/18/2024,Spectroscopy,Minor,High,Fine Imposed
489,Yogurt,BrandC,Dairy,Artificial sweeteners,1/22/2024,Chemical Analysis,Severe,Medium,Fine Imposed
490,Bread,BrandA,Dairy,Artificial sweeteners,1/1/2024,Sensory Evaluation,Moderate,Low,Warning Issued
491,Yogurt,BrandD,Bakery,Water,3/30/2024,Spectroscopy,Severe,High,Investigation Launched
492,Butter,BrandD,Beverages,Water,6/18/2024,Chemical Analysis,Severe,Medium,Warning Issued
493,Butter,BrandA,Dairy,Water,5/15/2024,Microbiological Analysis,Minor,High,Warning Issued
494,Beef,BrandB,Condiments,Artificial sweeteners,2/3/2024,Microbiological Analysis,Minor,Medium,Investigation Launched
495,Juice,BrandC,Meat,Water,2/1/2024,Microbiological Analysis,Minor,Low,Fine Imposed
496,Milk,BrandB,Condiments,Chalk,3/25/2024,Microbiological Analysis,Severe,Low,Investigation Launched
497,Beef,BrandC,Bakery,Artificial sweeteners,1/10/2024,Microbiological Analysis,Severe,High,Warning Issued
498,Juice,BrandB,Meat,Artificial sweeteners,1/18/2024,Chemical Analysis,Severe,High,Investigation Launched
499,Juice,BrandE,Beverages,Water,2/14/2024,Spectroscopy,Severe,Low,Product Recall
500,Cheese,BrandC,Beverages,Water,5/4/2024,Sensory Evaluation,Moderate,High,Warning Issued
